,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8,KM9_1,KM9_2,KM9_3,KM9_4,KM9_5,KM9_6,KM9_7,KM9_8,KM9_9
seg_size,8950.0,2257.0,2774.0,3919.0,2257.0,2042.0,1874.0,2777.0,1851.0,2079.0,617.0,2667.0,1736.0,609.0,1851.0,1736.0,896.0,2671.0,1187.0,603.0,2067.0,2592.0,1798.0,1714.0,3.0,173.0,917.0,2226.0,1940.0,1533.0,3.0,1904.0,223.0,204.0,853.0,1996.0,1680.0,1365.0,3.0,1774.0,166.0,500.0,613.0
Seg_pct,1.0,0.2521787709497207,0.3099441340782123,0.43787709497206706,0.2521787709497207,0.22815642458100557,0.2093854748603352,0.31027932960893856,0.20681564245810055,0.23229050279329608,0.06893854748603352,0.2979888268156425,0.19396648044692738,0.06804469273743016,0.20681564245810055,0.19396648044692738,0.10011173184357541,0.2984357541899441,0.13262569832402235,0.06737430167597766,0.23094972067039107,0.28960893854748604,0.20089385474860336,0.19150837988826816,0.000335195530726257,0.019329608938547484,0.10245810055865921,0.24871508379888269,0.21675977653631284,0.17128491620111733,0.000335195530726257,0.21273743016759777,0.024916201117318435,0.022793296089385476,0.09530726256983241,0.22301675977653632,0.1877094972067039,0.15251396648044693,0.000335195530726257,0.1982122905027933,0.018547486033519554,0.055865921787709494,0.06849162011173185
BALANCE,1564.4748276781006,846.4008443119184,1805.9681824574623,1807.0852931793825,846.4008443119184,2147.759968893242,1438.7616009429028,1804.0179709974793,2226.402797008644,865.0894781000482,1117.0235873014587,1822.8228842860892,1458.4014514573735,1071.2961999146141,2228.8592266996216,1458.4014514573735,981.7277526071427,1820.727087641333,799.862557871946,1061.6893506699832,848.7943096826318,1725.8908194147375,2184.315302816463,1428.93337644049,0.722441,4377.406348104047,1512.5311384743732,787.0716613243486,2016.3696682417526,1368.8976312263535,0.722441,1558.025137222689,3863.4342551210757,5023.196289627451,1259.8171606424385,608.5804979353707,1712.7963285791668,1162.877934534066,0.722441,1253.823084522548,3508.359996271084,7580.80064291,1061.6645726884176
BALANCE_FREQUENCY,0.8772707255865921,0.8230610615861763,0.9458251856524874,0.8599655812707323,0.8230610615861763,0.8823848795298728,0.8363309925293491,0.9451962455887649,0.8970390102647218,0.8200684295334296,0.7980242398703404,0.949334762279715,0.8421513559907833,0.7949833251231527,0.8970881237169098,0.8421513559907833,0.6990414977678572,0.9486883257207037,0.9137789199663015,0.7938087363184079,0.8208270628930817,0.948413943287037,0.9017005522803114,0.8441562695449243,0.3636363333333333,0.85974276300578,0.9773909956379498,0.8209577026055705,0.8822840030927835,0.8076989504240052,0.3636363333333333,0.9289171034663866,0.994251941704036,0.9144749558823528,0.9809646998827667,0.8138767650300601,0.8880790125,0.8061856666666668,0.3636363333333333,0.9289758049605411,0.9878970481927711,0.995693438,0.7943952528548124
PURCHASES,1003.2048335195531,536.6469517058041,2267.8058074981977,376.7741209492217,536.6469517058041,0.0,786.7590288153682,2266.145001800504,0.0,553.3065704665704,455.3230632090762,2313.0126996625418,794.1357718894009,463.7018390804598,0.0,794.1357718894009,385.6548995535714,2305.8192736802694,685.1550716090986,453.1435157545605,546.0483551040155,2015.9194212962957,0.0,757.5458401400232,730.4533333333333,6074.379768786127,2269.9823009814613,522.4782120395328,0.0,611.9109980430529,730.4533333333333,1428.1175892857143,8516.878475336322,859.9131372549022,2311.2130480656506,532.020385771543,0.0,579.7143589743589,730.4533333333333,1455.4131003382186,10145.668072289156,1203.78746,463.0129037520392
ONEOFF_PURCHASES,592.4373709497207,0.0,1379.884426820476,376.2477851492728,0.0,0.0,786.8276787620063,1378.3937342455888,0.0,0.0,273.55017828200977,1407.868638920135,794.2098790322581,276.76167487684734,0.0,794.2098790322581,0.08503348214285714,1405.818820666417,0.0,272.6853067993366,0.0,1193.7327199074075,0.0,757.6208984830805,0.0,4307.328323699422,1764.8639149400217,0.0,0.0,611.9949184605349,0.0,720.1011134453781,5610.614843049329,605.4236274509805,1804.0240328253224,0.0,0.0,579.8086080586081,0.0,730.4843066516348,6862.406807228916,730.45952,280.2198531810767
INSTALLMENTS_PURCHASES,411.0676446927374,537.622498892335,888.0497764960346,0.5591630517989282,537.622498892335,0.0,0.0,887.8795246669067,0.0,554.351212121212,181.82150729335493,905.2776077990251,0.0,186.9894252873563,0.0,0.0,386.35195312499997,900.1338000748783,686.3943807919125,180.50796019900497,547.0884179970972,822.324112654321,0.0,0.0,730.4533333333333,1767.1786127167632,505.1183860414395,523.1978032345014,0.0,0.0,730.4533333333333,708.2035399159664,2908.954215246637,254.48950980392158,507.1890152403282,533.0749248496994,0.0,0.0,730.4533333333333,725.1295659526494,3283.261265060242,473.46184,182.84199021207178
CASH_ADVANCE,978.8711124654749,420.51724245414266,764.2266757498197,1452.3664817088543,420.51724245414266,1988.4673703731637,870.5303476600852,763.4010797731364,1965.2739253365748,391.00827199037997,1419.1107038411672,732.5018994574428,853.1649499867511,1352.8584521198686,1966.5696665391679,853.1649499867511,517.6080514341518,732.850217875702,332.41036836815505,1342.5745364295192,352.0442614315433,587.2967242272376,1756.3264356395996,772.2095898331388,0.0,7051.637255890172,469.49169471973835,326.32698015363883,1583.2952610242266,725.8104192811481,0.0,613.8795044243697,721.3301499865471,10245.22223367647,415.3234115685815,269.05384796492984,1671.0291406071428,732.3877901728937,0.0,634.9360525101466,948.7974011024098,3830.446980742,1408.5732464061991
PURCHASES_FREQUENCY,0.49035054837988823,0.6945795232609658,0.7991163284066329,0.15417778234243432,0.6945795232609658,0.0001632384916748286,0.3210011008537887,0.7990932761973352,0.00018008265802269043,0.6840043054353053,0.44470170502431117,0.8002261192350956,0.32124142396313365,0.4435875927750411,0.00018008265802269043,0.32124142396313365,0.36142927343750003,0.8001093032572071,0.9263281727042966,0.43917976119402985,0.6847768945331398,0.7972520459104939,0.00018539098998887653,0.32277021295215874,0.7777776666666667,0.497144838150289,0.9288925954198473,0.6934030516621744,0.00017182113402061856,0.21081541878669277,0.7777776666666667,0.7316270740546219,0.9795080896860988,0.2746703382352941,0.9341910023446659,0.6863980506012025,0.0001984125,0.2021088915750916,0.7777776666666667,0.7355884182638106,0.964439578313253,0.41958534399999997,0.437770269168026
ONEOFF_PURCHASES_FREQUENCY,0.202457683575419,0.0,0.4365021171593367,0.15339101684103085,0.0,0.0,0.32077875933831373,0.4360305628375945,0.0,0.0,0.1371298606158833,0.43874341957255336,0.3210014078341014,0.13856634154351394,0.0,0.3210014078341014,0.0001860122767857143,0.4381071714713591,0.0,0.13678630348258705,0.0,0.431338037808642,0.0,0.32252711610268375,0.0,0.33915870520231217,0.8807999400218104,0.0,0.0,0.21054361969993476,0.0,0.25936188707983193,0.7292392331838565,0.12300966666666667,0.8912315228604925,0.0,0.0,0.2018036402930403,0.0,0.2628884075535513,0.7424060120481928,0.20881361199999998,0.13426357422512236
